"";"n";"par";"B_100_np";"B_100_p";"B_500_np";"B_500_p";"B_700_np";"B_700_p"
"1";"100";"alpha";1,63988822521333e-13;5,93436411122639e-14;-7,4309447484211e-15;-1,45301548570842e-13;3,37254034223276e-15;6,83792704998203e-14
"2";"100";"phi_1";-4,44124446420668e-17;-2,22058157452187e-17;8,90471507294932e-17;8,88171372386004e-17;5,23475267349574e-17;9,86422479924128e-17
"3";"100";"phi_2";-5,43911703870803e-17;-1,22504003469137e-17;-5,43823883494832e-17;-4,28256605525257e-17;-6,35979054637779e-17;8,52273515898021e-17
"4";"250";"alpha";5,43843941235023e-17;5,77733390641488e-17;-2,07136825053356e-17;4,79466466529743e-15;-2,07136825053356e-17;4,79466466529743e-15
"5";"250";"phi_1";-3,4412848005233e-17;-2,88647144380816e-17;3,55304978147397e-17;-4,90759437753695e-17;3,55304978147397e-17;-4,90759437753695e-17
"6";"250";"phi_2";1,05465698565892e-16;4,10709335464665e-17;-4,77619246236349e-17;2,88768575024134e-17;-4,77619246236349e-17;2,88768575024134e-17
"7";"400";"alpha";-1,50031896628544e-17;8,35160933465584e-18;-1,2161383011744e-15;-4,44753825781796e-17;1,61028834629217e-17;4,97893393180959e-15
"8";"400";"phi_1";-7,43853661663591e-17;8,7704637389413e-17;-1,15458857752326e-17;7,50659910207958e-17;6,1700284695294e-17;8,24753947862439e-17
"9";"400";"phi_2";-3,71848819097353e-17;3,10976288123155e-17;-2,96916489875634e-17;2,36299695088871e-17;-2,90063770683687e-17;7,48889417740666e-18
"10";"500";"alpha";3,33097400573648e-17;5,43898151343647e-17;2,39843951990726e-17;5,56705221743496e-17;-1,60119623413399e-17;-4,78662868270379e-17
"11";"500";"phi_1";3,99687403941813e-17;-5,10715127415191e-17;-4,19702640019502e-17;4,06265936148641e-17;1,17425677936227e-17;1,68172438245769e-17
"12";"500";"phi_2";-1,77591299413589e-17;2,99820186581458e-17;-3,00057288044053e-17;8,19498955457673e-18;-8,5016551710266e-18;-4,46283557604161e-17
